,fname,lname,nname,height,weight,reach,stance,win,lose,draw
2806,Tyrone,Roberts,Native Warrior,"5' 9""",185 lbs.,--,Orthodox,43,12,1
2807,Ryan,Roberts,,"5' 6""",155 lbs.,--,Orthodox,21,12,1
2808,Taylor,Roberts,,"5' 11""",170 lbs.,--,,3,12,0
2809,Daniel,Roberts,Ninja,"5' 10""",170 lbs.,"74.0""",Southpaw,15,7,0
2810,Buddy,Roberts,,"6' 2""",185 lbs.,--,Orthodox,12,3,0
2811,Danny,Roberts,Hot Chocolate,"6' 1""",170 lbs.,"74.0""",Southpaw,18,5,0
2812,Roosevelt,Roberts,The Predator,"6' 2""",155 lbs.,"73.0""",Orthodox,10,3,0
2813,Kenny,Robertson,,"5' 10""",170 lbs.,"74.0""",Orthodox,15,5,0
2814,Gillian,Robertson,The Savage,"5' 5""",125 lbs.,"63.0""",Orthodox,9,6,0
2815,Chad,Robichaux,Robo,"5' 4""",135 lbs.,--,,13,2,0
2816,Mark,Robinson,White Rhino,"6' 0""",265 lbs.,--,Orthodox,1,0,0
2817,Colin,Robinson,Big C,"6' 4""",243 lbs.,--,Orthodox,10,12,0
2818,Alvin,Robinson,,"5' 9""",155 lbs.,"68.0""",Southpaw,15,9,0
2819,Damonte,Robinson,,"6' 0""",155 lbs.,"77.0""",,6,1,1
2820,Vagner,Rocha,Ceara,"5' 10""",155 lbs.,"73.0""",Orthodox,14,4,0
2821,Carlos Eduardo,Rocha,Ta Danado,"5' 10""",170 lbs.,"73.0""",Orthodox,9,4,0
2822,Keith,Rockel,Rock,"6' 0""",185 lbs.,--,Orthodox,12,4,1
2823,Luke,Rockhold,,"6' 3""",205 lbs.,"77.0""",Southpaw,16,5,0
2824,Kevin,Roddy,K-Rod,"5' 11""",145 lbs.,--,,15,16,1
2825,Gregory,Rodrigues,Robocop,"6' 3""",185 lbs.,"75.0""",Orthodox,11,3,0
2826,Kleydson,Rodrigues,KR,"5' 6""",125 lbs.,"67.0""",Orthodox,7,1,0
2827,Paul,Rodriguez,,"5' 7""",155 lbs.,--,Orthodox,10,9,2
2828,Ricco,Rodriguez,Suave,"6' 4""",265 lbs.,--,Orthodox,53,25,0
2829,Manuel,Rodriguez,Chalate,"5' 9""",170 lbs.,--,Orthodox,11,5,0
2830,Yair,Rodriguez,El Pantera,"5' 11""",145 lbs.,"71.0""",Orthodox,13,2,0
2831,Mike,Rodriguez,Slo Mike,"6' 4""",205 lbs.,"82.0""",Southpaw,11,7,0
2832,Marina,Rodriguez,,"5' 6""",115 lbs.,"65.0""",Orthodox,15,1,2
2833,Daniel,Rodriguez,D-Rod,"6' 1""",170 lbs.,"74.0""",Southpaw,16,2,0
2834,Ray,Rodriguez,The Judge,"5' 7""",135 lbs.,"70.0""",Orthodox,16,8,0
2835,Luis,Rodriguez,Lazy Boy,"5' 6""",125 lbs.,"65.0""",Orthodox,11,2,0
2836,Drako,Rodriguez,,"5' 8""",135 lbs.,"69.0""",Orthodox,7,3,0
2837,Victor,Rodriguez,Vicious,"5' 5""",125 lbs.,"67.0""",Switch,7,4,0
2838,Piera,Rodriguez,La Fiera,"5' 3""",115 lbs.,"63.0""",Orthodox,7,0,0
2839,Christian,Rodriguez,,"5' 7""",135 lbs.,"71.0""",Orthodox,6,0,0
2840,Nick,Roehrick,,"6' 2""",205 lbs.,--,Orthodox,7,1,0
2841,Marcos,Rogerio de Lima,Pezao,"6' 1""",253 lbs.,"75.0""",Orthodox,18,8,1
2842,Brett,Rogers,The Grim,"6' 5""",265 lbs.,"81.0""",Orthodox,17,10,0
2843,Brian,Rogers,The Professional Predator,"5' 11""",185 lbs.,--,,14,9,0
2844,Pete,Rogers Jr.,The Heat,"6' 0""",145 lbs.,--,,2,4,0
2845,Max,Rohskopf,Rated R,"6' 1""",155 lbs.,"71.0""",Orthodox,5,1,0
2846,Marcelo,Rojo,Pitbull,"5' 8""",135 lbs.,"71.0""",Orthodox,16,8,0
2847,Shane,Roller,,"5' 10""",155 lbs.,"72.0""",Orthodox,11,7,0
2848,Jared,Rollins,J-Roc,"5' 9""",170 lbs.,--,Orthodox,8,4,0
2849,Tim,Roman,,"6' 1""",170 lbs.,--,,3,4,0
2850,Alexandr,Romanov,King Kong,"6' 2""",262 lbs.,"75.0""",Southpaw,15,0,0
2851,Ricardo,Romero,,"6' 0""",205 lbs.,"76.0""",Orthodox,11,3,0
2852,Yoel,Romero,Soldier of God,"6' 0""",185 lbs.,"73.0""",Southpaw,13,5,0
2853,Anthony,Romero,The Genius,"5' 11""",155 lbs.,"70.0""",Orthodox,8,0,0
2854,Mara,Romero Borella,,"5' 6""",125 lbs.,"69.0""",Orthodox,12,9,0
2855,Juancamilo,Ronderos,100,"5' 4""",125 lbs.,--,,4,1,0
2856,Rong,Zhu,,"5' 9""",155 lbs.,"71.0""",Orthodox,18,4,0
2857,Jesse,Ronson,The Body Snatcher,"5' 10""",170 lbs.,"70.0""",Southpaw,21,10,0
2858,George,Roop,,"6' 1""",135 lbs.,"72.0""",Orthodox,15,13,1
2859,Joao,Roque,,"5' 6""",155 lbs.,--,Orthodox,7,2,4
2860,Aaron,Rosa,,"6' 4""",205 lbs.,"77.0""",Orthodox,18,6,0
2861,Charles,Rosa,Boston Strong,"5' 9""",145 lbs.,"69.0""",Switch,14,6,0
2862,Karol,Rosa,,"5' 5""",135 lbs.,"67.0""",Orthodox,15,3,0
2863,Jacob,Rosales,The Lil Badger,"5' 11""",155 lbs.,"74.0""",Orthodox,13,7,0
2864,Hilarie,Rose,,"5' 3""",115 lbs.,"63.0""",Orthodox,4,2,0
2865,Jake,Rosholt,,"6' 1""",185 lbs.,--,Orthodox,12,5,0
2866,Jared,Rosholt,,"6' 2""",265 lbs.,"75.0""",Orthodox,14,4,0
2867,Kevin,Rosier,,"6' 4""",275 lbs.,--,Orthodox,2,6,0
2868,Zach,Rosol,,--,243 lbs.,--,,3,2,0
2869,Nick,Rossborough,Leatherface,"6' 5""",205 lbs.,--,,26,19,1
2870,Kristian,Rothaermel,,"6' 0""",205 lbs.,--,Open Stance,4,3,0
2871,Ben,Rothwell,,"6' 4""",265 lbs.,"78.0""",Orthodox,39,13,0
2872,Rick,Roufus,,"6' 0""",207 lbs.,--,Southpaw,4,6,0
2873,Khalil,Rountree Jr.,,"6' 1""",205 lbs.,"76.0""",Southpaw,10,5,0
2874,Ronda,Rousey,Rowdy,"5' 7""",135 lbs.,"66.0""",Orthodox,12,2,0
2875,Ray,Routh,,"5' 8""",185 lbs.,--,Orthodox,2,1,0
2876,Roberta,Rovel,Crusher,"5' 8""",145 lbs.,--,,4,1,0
2877,Phil,Rowe,The Fresh Prince,"6' 3""",170 lbs.,"80.0""",Orthodox,8,3,0
2878,Kain,Royer,,--,185 lbs.,--,,2,2,0
2879,Brad,Royster,,--,135 lbs.,--,,1,2,0
2880,Brandon,Royval,Raw Dawg,"5' 9""",125 lbs.,"68.0""",Southpaw,12,6,0
2881,Jairzinho,Rozenstruik,Bigi Boy,"6' 2""",242 lbs.,"78.0""",Orthodox,12,3,0
2882,Mauricio,Rua,Shogun,"6' 1""",205 lbs.,"76.0""",Orthodox,27,12,1
2883,Murilo,Rua,Ninja,"5' 11""",185 lbs.,--,Orthodox,20,13,1
2884,Marco,Ruas,King of the Streets,"6' 1""",210 lbs.,--,Orthodox,9,4,2
2885,Rodrigo,Ruas,,"5' 10""",185 lbs.,--,Orthodox,4,5,1
2886,Rodolfo,Rubio Perez,Fito,"5' 5""",145 lbs.,--,Orthodox,10,16,1
2887,Gabe,Ruediger,Godzilla,"5' 10""",155 lbs.,--,Orthodox,18,8,0
2888,Eddie,Ruiz,,"5' 7""",155 lbs.,--,Orthodox,1,1,0
2889,Anthony,Ruiz,El Toro,"6' 2""",205 lbs.,--,Orthodox,33,22,0
2890,Paul,Ruiz,,"5' 6""",135 lbs.,--,,7,4,0
2891,Mike,Russow,,"6' 1""",255 lbs.,"73.0""",Orthodox,15,3,0
2892,Bas,Rutten,El Guapo,"6' 1""",205 lbs.,--,Orthodox,28,4,1
2893,Casey,Ryan,,--,185 lbs.,--,,7,3,0
2894,Yusup,Saadulaev,Maestro,"5' 6""",135 lbs.,--,,16,4,1
2895,Pete,Sabala,,--,135 lbs.,--,,3,15,0
2896,Danny,Sabatello,Italian Gangster,"5' 10""",135 lbs.,"71.0""",Orthodox,9,1,0
2897,Pat,Sabatini,,"5' 8""",145 lbs.,"70.0""",Orthodox,15,3,0
2898,Amir,Sadollah,,"5' 10""",170 lbs.,"75.0""",Orthodox,6,5,0
2899,Frankie,Saenz,,"5' 6""",135 lbs.,"66.0""",Orthodox,13,7,0
2900,Saparbeg,Safarov,,"6' 1""",185 lbs.,"78.0""",Orthodox,9,3,0
2901,Tarec,Saffiedine,Sponge,"5' 10""",170 lbs.,"70.0""",Switch,16,7,0
2902,Jason,Saggo,,"5' 11""",155 lbs.,"71.0""",Orthodox,12,4,0
2903,Benoit,Saint Denis,God of War,"5' 11""",170 lbs.,"73.0""",Southpaw,8,1,0
2904,Ovince,Saint Preux,,"6' 3""",205 lbs.,"80.0""",Southpaw,25,16,0
2905,Lukasz,Sajewski,Wookie,"5' 8""",155 lbs.,"71.0""",Orthodox,13,3,0
2906,Yukio,Sakaguchi,,"5' 9""",185 lbs.,--,Orthodox,6,7,0
2907,Augusto,Sakai,,"6' 3""",265 lbs.,"77.0""",Orthodox,15,3,1
2908,Alessio,Sakara,Legionarius,"6' 0""",185 lbs.,"72.0""",Orthodox,19,11,0
2909,Wataru,Sakata,,"5' 9""",195 lbs.,--,Southpaw,11,14,0
2910,Gokhan,Saki,The Rebel,"6' 0""",205 lbs.,"73.0""",Orthodox,1,2,0
2911,Kazushi,Sakuraba,The Gracie Hunter,"6' 0""",185 lbs.,--,Southpaw,26,17,1
2912,Hayato,Sakurai,Mach,"5' 7""",168 lbs.,--,Orthodox,38,13,2
2913,Ryuta,Sakurai,,"5' 7""",183 lbs.,--,Orthodox,24,24,6
2914,Justin,Salas,J-Bomb,"5' 8""",155 lbs.,"70.0""",Southpaw,12,7,0
2915,Ivan,Salaverry,,"6' 0""",185 lbs.,--,Orthodox,14,9,0
2916,Roman,Salazar,El Gallito,"5' 7""",135 lbs.,--,Orthodox,10,6,0
2917,Luis,Saldana,,"5' 11""",145 lbs.,"73.0""",Orthodox,15,7,0
2918,John,Salgado,Greco,"5' 10""",170 lbs.,--,,4,8,1
2919,Muslim,Salikhov,King of Kung Fu,"5' 11""",170 lbs.,"70.0""",Orthodox,18,2,0
2920,Gabriel,Salinas-Jones,,"6' 1""",245 lbs.,--,,5,2,1
2921,Brandon,Saling,White Steel,"5' 10""",170 lbs.,--,,8,6,0
2922,Sean,Salmon,,"5' 10""",185 lbs.,--,Southpaw,18,21,0
2923,Boston,Salmon,Boom Boom,"5' 9""",135 lbs.,"69.0""",Southpaw,6,3,0
2924,John,Salter,,"6' 1""",185 lbs.,"74.0""",Southpaw,14,3,0
2925,Vinicius,Salvador,,--,125 lbs.,--,,12,4,0
2926,Josh,Samman,Anqa,"6' 3""",185 lbs.,"79.0""",Orthodox,13,4,0
2927,Johnny,Sampaio,,"5' 8""",170 lbs.,--,Orthodox,3,1,0
2928,Josh,Sampo,The Gremlin,"5' 4""",125 lbs.,"64.0""",Orthodox,11,5,0
2929,Josh,San Diego,JSD,"5' 10""",135 lbs.,--,,8,3,0
2930,Diego,Sanchez,Nightmare,"5' 10""",170 lbs.,"72.0""",Southpaw,31,13,0
2931,Eddie,Sanchez,The Manic Hispanic,"6' 2""",230 lbs.,"74.0""",Orthodox,15,8,0
2932,Julian,Sanchez,,"6' 3""",300 lbs.,--,Orthodox,0,1,0
2933,Bobby,Sanchez,The Kid,"5' 7""",155 lbs.,--,Orthodox,10,35,0
2934,Donald,Sanchez,,"5' 10""",145 lbs.,--,,31,17,0
2935,Joby,Sanchez,,"5' 6""",135 lbs.,"68.0""",Orthodox,11,4,0
2936,Emmanuel,Sanchez,El Matador,"5' 9""",145 lbs.,"71.0""",,15,3,0
2937,Erick,Sanchez,,"5' 10""",145 lbs.,--,,8,3,0
2938,Andrew,Sanchez,El Dirte,"6' 1""",185 lbs.,"74.0""",Orthodox,13,7,0
2939,Robert,Sanchez,Littlefury,"5' 6""",125 lbs.,"66.0""",Orthodox,8,2,0
2940,Jesse,Sanders,,"6' 0""",170 lbs.,--,Orthodox,23,7,0
2941,Luke,Sanders,Cool Hand,"5' 6""",135 lbs.,"67.0""",Southpaw,13,5,0
2942,Jerrod,Sanders,J-Reazie,"5' 8""",135 lbs.,"72.0""",Orthodox,16,3,0
2943,Cory,Sandhagen,,"5' 11""",135 lbs.,"70.0""",Switch,14,4,0
2944,Hugo,Sandoval,,--,135 lbs.,--,,2,3,0
2945,Raul,Sandoval,,--,130 lbs.,--,,3,3,0
2946,Joseph,Sandoval,,"5' 7""",135 lbs.,--,Southpaw,7,7,0
2947,Hector,Sandoval,Kid Alex,"5' 2""",125 lbs.,"64.0""",Orthodox,14,4,0
2948,Chris,Sanford,,"5' 11""",185 lbs.,--,Orthodox,5,1,0
2949,Roldan,Sangcha'an,The Executioner,"5' 4""",125 lbs.,--,Orthodox,4,2,0
2950,Yuhi,Sano,,"5' 11""",243 lbs.,--,Orthodox,0,4,0
2951,Martin,Sano,Spartan,"5' 11""",170 lbs.,"75.0""",Orthodox,4,3,1
2952,Jonathan,Santa Maria,,"5' 9""",125 lbs.,--,,3,4,0
2953,Duda,Santana,Cowboyzinha,"5' 7""",145 lbs.,"73.0""",Orthodox,3,1,0
2954,Shaheen,Santana,Shazam,"6' 1""",155 lbs.,"75.0""",Orthodox,6,1,0
2955,Sean,Santella,Shorty Rock,"5' 5""",125 lbs.,--,,17,6,1
2956,Jorge,Santiago,The Sandman,"6' 1""",170 lbs.,"75.0""",Orthodox,25,12,0
2957,Mike,Santiago,,"5' 10""",145 lbs.,"69.0""",Orthodox,19,12,0
2958,Will,Santiago,The Brown Bomber,"5' 7""",185 lbs.,--,Orthodox,9,5,0
2959,Richie,Santiago,The Milford Mauler,"5' 7""",135 lbs.,"67.0""",Southpaw,7,2,0
2960,Jose,Santibanez,,--,155 lbs.,--,,10,3,0
2961,Art,Santore,Pachuco,"6' 2""",185 lbs.,--,,18,8,0
2962,Adriano,Santos,,--,--,--,,0,1,0
2963,Paulo,Santos,,--,--,--,,0,3,0
2964,Evangelista,Santos,Cyborg,"5' 10""",170 lbs.,"76.0""",Orthodox,21,18,0
2965,Luis,Santos,,"6' 1""",170 lbs.,--,Southpaw,63,10,1
2966,Iliarde,Santos,,"5' 5""",125 lbs.,"67.0""",Orthodox,30,13,1
2967,Leonardo,Santos,,"6' 0""",155 lbs.,"75.0""",Orthodox,18,5,1
2968,Thiago,Santos,Marreta,"6' 2""",205 lbs.,"76.0""",Orthodox,22,9,0
2969,Bruno,Santos,Carioca,"5' 9""",185 lbs.,--,Orthodox,15,2,0
2970,Andre,Santos,Chatuba,"6' 0""",170 lbs.,--,,38,10,0
2971,Gleristone,Santos,Toninho Furia,"5' 9""",145 lbs.,--,,33,7,0
2972,Taila,Santos,,"5' 6""",125 lbs.,"68.0""",Orthodox,18,1,0
2973,Marilia,Santos,Chocolate,"5' 4""",125 lbs.,--,Orthodox,10,3,0
2974,Edivan,Santos,Pe De Sapo,"6' 4""",248 lbs.,"78.0""",Orthodox,12,3,1
2975,Daniel,Santos,Willycat,"5' 7""",135 lbs.,--,,8,1,0
2976,Nick,Sanzo,,"5' 9""",190 lbs.,--,,1,1,0
2977,Bob,Sapp,The Beast,"6' 5""",350 lbs.,--,Orthodox,11,20,0
2978,Daniel,Sarafian,,"5' 9""",185 lbs.,"73.0""",Orthodox,10,6,0
2979,Diego,Saraiva,The Octopus,"5' 6""",155 lbs.,--,Orthodox,22,20,1
2980,Harris,Sarmiento,The Hitman,"5' 9""",155 lbs.,--,Orthodox,36,26,0
2981,Alexander,Sarnavskiy,Tiger,"5' 11""",155 lbs.,--,,35,6,0
2982,Yuki,Sasaki,,"6' 2""",185 lbs.,--,Orthodox,25,22,2
2983,Kyosuke,Sasaki,,"5' 7""",183 lbs.,--,Southpaw,3,7,4
2984,Yuta,Sasaki,Ulka,"5' 10""",125 lbs.,"71.0""",Southpaw,21,6,2
2985,Paul,Sass,,"6' 0""",155 lbs.,"73.0""",Orthodox,14,2,0
2986,Masaaki,Satake,,"6' 1""",220 lbs.,--,Orthodox,1,8,1
2987,Takenori,Sato,,"5' 10""",170 lbs.,--,Southpaw,19,11,7
2988,Takashi,Sato,Ten,"5' 10""",170 lbs.,"73.0""",Southpaw,16,4,0
2989,Jeimeson,Saudino,The Minion,"5' 6""",135 lbs.,--,,8,5,0
2990,Tom,Sauer,,"6' 1""",263 lbs.,--,,25,12,0
2991,Townsend,Saunders,,"5' 5""",170 lbs.,--,Orthodox,0,2,0
2992,Ben,Saunders,Killa B,"6' 2""",170 lbs.,"77.0""",Orthodox,22,13,2
2993,Chad W.,Saunders,,"5' 10""",170 lbs.,--,Orthodox,7,2,0
2994,Chris,Saunders,The So Cal Kid,"5' 8""",155 lbs.,--,,16,8,0
2995,Lumumba,Sayers,,"6' 0""",185 lbs.,--,,6,5,0
2996,Matt,Sayles,,"5' 7""",145 lbs.,"68.0""",Orthodox,8,3,0
2997,Brandon,Sayles,Man of War,"6' 5""",265 lbs.,--,,5,1,0
2998,Mark,Scanlon,,"5' 9""",170 lbs.,--,Orthodox,9,2,0
2999,Eric,Schafer,Red,"6' 3""",185 lbs.,"76.0""",Orthodox,14,8,2
3000,Kerry,Schall,Meat Truck,"6' 2""",265 lbs.,--,Orthodox,24,13,0
3001,Eric,Schambari,,"5' 11""",185 lbs.,--,Orthodox,15,6,0
3002,Brendan,Schaub,Big Brown,"6' 4""",245 lbs.,"78.0""",Orthodox,10,5,0
3003,Matheus,Scheffel,Buffa,"6' 2""",205 lbs.,"75.0""",Orthodox,14,7,0
3004,Antonio,Schembri,Nino,"5' 9""",205 lbs.,--,Orthodox,5,5,0
3005,Fabiano,Scherner,Pegaleve,"6' 3""",257 lbs.,--,Orthodox,11,10,0
3006,Samy,Schiavo,,"5' 8""",155 lbs.,--,Orthodox,10,6,0
3007,Pat,Schilling,Thrilling,"5' 8""",145 lbs.,--,Orthodox,5,2,0
3008,Joe,Schilling,,"6' 3""",185 lbs.,--,,2,5,0
3009,Semmy,Schilt,Hightower,"6' 10""",265 lbs.,--,Orthodox,26,14,1
3010,Adam,Schindler,,"5' 8""",155 lbs.,--,,10,6,0
3011,Daniel,Schmitt,,--,185 lbs.,--,,2,3,0
3012,Colleen,Schneider,,--,135 lbs.,--,,11,7,0
3013,Matt,Schnell,Danger,"5' 8""",125 lbs.,"70.0""",Orthodox,15,6,0
3014,Alex,Schoenauer,,"6' 3""",185 lbs.,--,Orthodox,15,10,0
3015,Darrill,Schoonover,The Boss,"6' 2""",220 lbs.,--,Orthodox,14,8,0
3016,Bob,Schrijber,Dirty,"6' 0""",240 lbs.,--,Orthodox,20,17,1
3017,Nate,Schroeder,,"6' 1""",230 lbs.,--,,11,10,0
3018,Lacey,Schuckman,,"5' 3""",125 lbs.,--,,11,10,0
3019,Mark,Schultz,,"5' 9""",200 lbs.,--,Orthodox,1,1,0
3020,Brian,Schwartz,,"6' 3""",170 lbs.,--,Orthodox,1,1,0
3021,Eric,Schwartz,,--,205 lbs.,--,,2,0,0
3022,Justin,Scoggins,,"5' 7""",125 lbs.,"66.0""",Southpaw,11,5,0
3023,Brad,Scott,Bear,"6' 1""",170 lbs.,"76.0""",Orthodox,11,6,0
3024,Greg,Scott,,"5' 9""",145 lbs.,--,,3,4,0
3025,Mike,Seal,Crazy Boy,"6' 4""",185 lbs.,--,Orthodox,13,15,1
3026,Matt,Secor,,"6' 0""",170 lbs.,--,,8,4,0
3027,Kenneth,Seegrist,,"6' 0""",185 lbs.,--,Orthodox,4,7,0
3028,Neil,Seery,2Tap,"5' 4""",125 lbs.,"64.0""",Orthodox,16,13,0
3029,Rony,Sefo,,"5' 9""",225 lbs.,--,Orthodox,0,2,0
3030,Ray,Sefo,Sugarfoot,"6' 0""",240 lbs.,--,Orthodox,2,2,0
3031,Brendan,Seguin,,"6' 0""",185 lbs.,--,,23,19,1
3032,Stefan,Sekulic,,"6' 0""",170 lbs.,"75.0""",Southpaw,12,4,0
3033,Pete,Sell,Drago,"5' 11""",170 lbs.,"75.0""",Orthodox,10,7,0
3034,Matthew,Semelsberger,Semi The Jedi,"6' 1""",170 lbs.,"75.0""",Switch,9,3,0
3035,Andrei,Semenov,,"6' 0""",185 lbs.,--,Orthodox,34,9,2
3036,Mackens,Semerzier,Da Menace,"5' 9""",145 lbs.,"72.0""",Orthodox,8,4,0
3037,Brandon,Sene,,"5' 11""",205 lbs.,--,,2,2,0
3038,Kim In,Seok,,"5' 6""",145 lbs.,--,Orthodox,3,6,0
3039,Ray,Seraille,,"6' 3""",246 lbs.,--,,8,9,0
3040,Ivan,Serati,,"6' 0""",205 lbs.,--,Orthodox,12,4,0
3041,Alex,Serdyukov,The Russian Crusher,"6' 2""",170 lbs.,"74.0""",Orthodox,8,5,0
3042,Nicholas,Sergiacomi,,--,170 lbs.,--,,1,1,0
3043,Matt,Serra,The Terra,"5' 6""",170 lbs.,"68.0""",Orthodox,11,7,0
3044,Nick,Serra,The Mad Monkey,"5' 9""",170 lbs.,--,Orthodox,7,3,0
3045,Adrian,Serrano,,"5' 8""",170 lbs.,--,,56,29,4
3046,Fredy,Serrano,El Profe,"5' 3""",125 lbs.,"65.0""",Orthodox,3,2,0
3047,Carl,Seumanutafa,,"6' 1""",255 lbs.,--,Orthodox,10,8,0
3048,Dan,Severn,The Beast,"6' 2""",250 lbs.,--,Southpaw,101,19,1
3049,Rosi,Sexton,The Surgeon,"5' 3""",135 lbs.,--,Orthodox,13,5,0
3050,Scott,Shaffer,,"5' 7""",145 lbs.,--,Orthodox,0,1,0
3051,Edmen,Shahbazyan,The Golden Boy,"6' 2""",185 lbs.,"74.0""",Orthodox,11,2,0
3052,Leon,Shahbazyan,,"6' 4""",170 lbs.,"74.0""",Orthodox,7,2,0
3053,Liliya,Shakirova,,"5' 4""",125 lbs.,"65.0""",Orthodox,8,2,0
3054,Kamal,Shalorus,Prince of Persia,"5' 8""",155 lbs.,"68.0""",Orthodox,9,5,2
3055,Ken,Shamrock,The World's Most Dangerous Man,"6' 1""",205 lbs.,"72.0""",Orthodox,28,17,2
3056,Frank,Shamrock,,"5' 10""",185 lbs.,--,Orthodox,23,10,2
3057,Shang,Zhifa,Northeast Flying Tiger,"5' 7""",125 lbs.,"63.0""",Orthodox,32,7,0
3058,Jason,Sharp,,--,205 lbs.,--,,3,3,0
3059,Eric,Shelton,Showtime,"5' 6""",125 lbs.,"68.0""",Orthodox,12,6,0
3060,Sean,Sherk,The Muscle Shark,"5' 6""",155 lbs.,"67.0""",Orthodox,36,4,1
3061,Chase,Sherman,The Vanilla Gorilla,"6' 4""",250 lbs.,"78.0""",Orthodox,15,8,0
3062,Valentina,Shevchenko,Bullet,"5' 5""",125 lbs.,"66.0""",Southpaw,22,3,0
3063,Antonina,Shevchenko,La Pantera,"5' 8""",125 lbs.,"67.0""",Southpaw,9,4,0
3064,Katsuyori,Shibata,,"6' 0""",168 lbs.,--,Orthodox,4,11,1
3065,Jake,Shields,,"6' 0""",170 lbs.,"72.0""",Orthodox,31,9,1
3066,Henrique,Shiguemoto,,"5' 11""",185 lbs.,"72.0""",Orthodox,13,4,1
3067,Shunichi,Shimizu,,"5' 5""",135 lbs.,--,Orthodox,30,18,11
3068,Wade,Shipp,The Nightmare,"6' 3""",245 lbs.,--,Orthodox,11,5,0
3069,Raja,Shippen,,"5' 6""",145 lbs.,--,,18,11,1
3070,Yuya,Shirai,,"5' 8""",168 lbs.,--,Orthodox,26,14,2
3071,Wes,Shivers,,"6' 8""",--,--,,7,1,0
3072,Alexander,Shlemenko,Storm,"5' 11""",185 lbs.,--,,56,9,0
3073,Josh,Shockley,,"6' 1""",155 lbs.,--,Orthodox,11,4,0
3074,Josh,Shockman,The War Hammer,"6' 4""",235 lbs.,--,Southpaw,6,3,0
3075,Akira,Shoji,,"5' 8""",195 lbs.,--,Orthodox,14,17,5
3076,Liudvik,Sholinian,Palmeyros,"5' 10""",135 lbs.,"71.0""",Orthodox,9,3,1
3077,Jack,Shore,Tank,"5' 8""",135 lbs.,"71.0""",Orthodox,15,0,0
3078,Landon,Showalter,The Show,"6' 0""",185 lbs.,--,,11,19,1
3079,Ivan,Shtyrkov,Ural Hulk,"6' 0""",205 lbs.,"74.0""",Orthodox,15,0,1
3080,Brandon,Shuey,Big Dawg,"5' 7""",155 lbs.,--,Orthodox,7,6,0
3081,Sam,Sicilia,,"5' 8""",145 lbs.,"67.0""",Orthodox,15,8,0
3082,Kiril,Sidelnikov,,"5' 11""",230 lbs.,--,,11,4,0
3083,Steven,Siler,Super,"5' 11""",145 lbs.,"70.0""",Orthodox,29,16,0
3084,Siala,Siliga,Mighty Mo,"6' 1""",290 lbs.,--,Orthodox,12,5,0
3085,Xavier,Siller,Young Guns,"5' 5""",125 lbs.,--,,5,5,0
3086,Assuerio,Silva,,"5' 10""",241 lbs.,--,Orthodox,16,8,0
3087,Anderson,Silva,The Spider,"6' 2""",185 lbs.,"77.0""",Southpaw,34,11,0
3088,Wanderlei,Silva,The Axe Murderer,"5' 11""",205 lbs.,"74.0""",Orthodox,35,13,1
3089,Thiago,Silva,,"6' 2""",205 lbs.,"74.0""",Orthodox,19,6,0
3090,Paulo Cesar,Silva,Giant,"7' 5""",385 lbs.,--,Orthodox,2,6,0
3091,Jean,Silva,White Bear,"5' 6""",160 lbs.,--,Orthodox,19,12,3
3092,Edson,Silva,Paredao,--,205 lbs.,--,Orthodox,14,12,0
3093,Sidney,Silva,,"6' 3""",170 lbs.,--,Southpaw,8,4,0
3094,Jay,Silva,,"6' 2""",185 lbs.,--,Southpaw,10,11,1
3095,Antonio,Silva,Bigfoot,"6' 4""",264 lbs.,"82.0""",Orthodox,19,12,1
3096,Fabio,Silva,,"5' 11""",205 lbs.,--,Orthodox,1,8,0
3097,Erick,Silva,,"6' 0""",170 lbs.,"74.0""",Orthodox,19,9,0
3098,Leandro,Silva,Buscape,"5' 9""",155 lbs.,"72.0""",Orthodox,20,6,1
3099,Claudio,Silva,Hannibal,"5' 11""",170 lbs.,"71.0""",Southpaw,14,3,0
3100,Wagner,Silva,Wagnao,"6' 0""",170 lbs.,--,Orthodox,6,3,0
3101,Rafael,Silva,Morcego,"5' 7""",135 lbs.,--,,28,6,0
3102,Joaquim,Silva,Netto BJJ,"5' 8""",155 lbs.,"69.0""",Southpaw,11,4,0
3103,Felipe,Silva,,"6' 0""",155 lbs.,"77.0""",Orthodox,8,2,0
3104,Dayana,Silva,,"5' 7""",135 lbs.,--,Orthodox,7,4,0
3105,Bruno,Silva,Bulldog,"5' 4""",125 lbs.,"65.0""",Orthodox,12,5,2
3106,Bruno,Silva,Blindado,"6' 0""",185 lbs.,"74.0""",Orthodox,21,6,0
3107,Gabriel,Silva,,"5' 6""",135 lbs.,"71.0""",Orthodox,8,2,0
3108,Jacob,Silva,Lil Animal,"5' 5""",125 lbs.,"67.0""",Orthodox,6,4,0
3109,Natalia,Silva,,"5' 4""",125 lbs.,--,,12,5,1
3110,Jansey,Silva,Jones,"6' 2""",185 lbs.,"67.0""",Orthodox,7,2,0
3111,Maria,Silva,Viuva Negra,"5' 3""",115 lbs.,"65.0""",Orthodox,7,0,0
3112,Karine,Silva,Killer,"5' 5""",125 lbs.,"67.0""",Orthodox,14,4,0
3113,Douglas,Silva de Andrade,D Silva,"5' 7""",145 lbs.,"68.0""",Orthodox,27,4,0
