,fname,lname,nname,height,weight,reach,stance,win,lose,draw
560,Mark,Cherico,The Pride of Bloomfield,"5' 7""",145 lbs.,"69.0""",Orthodox,11,1,0
561,Macy,Chiasson,,"5' 11""",135 lbs.,"72.0""",Orthodox,8,1,0
562,Michael,Chiesa,Maverick,"6' 1""",170 lbs.,"75.0""",Southpaw,18,5,0
563,Giga,Chikadze,Ninja,"6' 0""",145 lbs.,"74.0""",Orthodox,14,2,0
564,Khamzat,Chimaev,Borz,"6' 2""",170 lbs.,"75.0""",Orthodox,10,0,0
565,Sako,Chivitchian,,"5' 11""",155 lbs.,--,,8,1,0
566,Mu Bae,Choi,,"6' 2""",230 lbs.,--,Orthodox,12,6,0
567,Hong Man,Choi,Techno Goliath,"7' 2""",330 lbs.,--,Orthodox,4,5,0
568,Dooho,Choi,The Korean Superboy,"5' 10""",145 lbs.,"70.0""",Orthodox,14,4,0
569,SeungWoo,Choi,Sting,"6' 0""",145 lbs.,"74.0""",Orthodox,10,4,0
570,John,Cholish,,"5' 11""",155 lbs.,"74.0""",Orthodox,8,3,0
571,Ryo,Chonan,Piranah,"5' 9""",170 lbs.,"70.0""",Orthodox,22,13,0
572,Katlyn,Chookagian,Blonde Fighter,"5' 9""",125 lbs.,"68.0""",Orthodox,16,4,0
573,Will,Chope,The Kill,"6' 4""",145 lbs.,--,Switch,34,13,0
574,Joachim,Christensen,,"6' 3""",205 lbs.,"76.0""",Orthodox,14,6,0
575,Dan,Christison,The Sandman,"6' 8""",265 lbs.,--,Orthodox,20,7,0
576,Anthony,Christodoulou,,"5' 9""",155 lbs.,--,Orthodox,12,7,0
577,Murad,Chunkaiev,,"5' 11""",185 lbs.,--,Orthodox,8,4,0
578,Cameron,Church,,"5' 11""",155 lbs.,"72.0""",Orthodox,4,1,0
579,Steven,Ciaccio,Stryker,"6' 0""",170 lbs.,--,,4,4,0
580,Mike,Ciesnolevicz,,"6' 0""",235 lbs.,--,Orthodox,19,4,0
581,Hannah,Cifers,Shockwave,"5' 1""",115 lbs.,"62.0""",Orthodox,10,7,0
582,Branko,Cikatic,,"6' 1""",215 lbs.,--,Orthodox,0,2,0
583,Nikolajus,Cilkinas,,--,--,--,Orthodox,2,6,0
584,Misha,Cirkunov,,"6' 3""",205 lbs.,"77.0""",Orthodox,15,7,0
585,Johnny,Cisneros,The Tattooed Terror,"5' 11""",170 lbs.,--,,9,6,0
586,Laverne,Clark,,"5' 11""",170 lbs.,--,Orthodox,27,21,1
587,Logan,Clark,,"6' 2""",185 lbs.,--,Orthodox,18,6,0
588,Mychal,Clark,,"6' 3""",224 lbs.,--,Orthodox,10,14,0
589,Dominic,Clark,,"5' 10""",155 lbs.,--,,10,7,0
590,Heather,Clark,Hurricane,"5' 6""",115 lbs.,"64.0""",Orthodox,7,6,0
591,Devin,Clark,Brown Bear,"6' 0""",205 lbs.,"75.0""",Orthodox,12,6,0
592,Jessica-Rose,Clark,,"5' 5""",135 lbs.,"64.0""",Orthodox,11,6,0
593,John,Clarke,,--,170 lbs.,--,,1,1,0
594,Mitch,Clarke,Danger Zone,"5' 10""",155 lbs.,"73.0""",Orthodox,11,5,0
595,Rich,Clementi,No Love,"5' 9""",155 lbs.,"72.0""",Southpaw,45,23,1
596,Chris,Clements,The Menace,"5' 10""",170 lbs.,"70.0""",Orthodox,12,6,0
597,RJ,Clifford,,--,160 lbs.,--,,4,3,0
598,Josh,Clopton,The Gentleman,"5' 6""",145 lbs.,--,Orthodox,6,2,1
599,Brian,Cobb,,"5' 11""",155 lbs.,--,Orthodox,20,9,0
600,Darryl,Cobb,,"5' 9""",185 lbs.,--,,6,8,0
