,name,nname,win,lose,draw,nc,height,weight,reach,stance,dob,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg
24024,Zach Light,,9,11,0,0,"5'8""",170lbs,0,Orthodox,"Feb06,1974",0.81,0.33,1.9,0.48,1.3599999999999999,1.0,0.0,0.0
24038,Scott Lighty,,6,2,0,0,"6'2""",205lbs,0,,"Oct15,1978",2.91,0.21,4.24,0.49,0.0,0.0,0.0,0.0
24052,Rodrigo Lidio,The Dynamis,12,2,0,0,--,155lbs,0,,"Jul07,1989",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24066,Li Jingliang,The Leech,18,7,0,0,"6'0""",170lbs,71,Orthodox,"Mar20,1988",4.42,0.42,3.74,0.58,1.25,0.39,0.58,0.0
24080,Jess Liaudin,The Joker,20,11,0,0,"5'9""",170lbs,72,Orthodox,--,2.46,0.51,2.76,0.41000000000000003,3.2800000000000002,0.53,0.30000000000000004,1.6
24094,Chuck Liddell,The Iceman,21,8,0,0,"6'2""",205lbs,76,Orthodox,"Dec17,1969",2.9699999999999998,0.35000000000000003,2.71,0.56,0.44,0.75,0.81,0.0
24108,Liang Na,The Dragon Girl,19,6,0,0,"5'5""",115lbs,67,Orthodox,"Jul27,1996",2.94,0.52,4.09,0.27,5.74,0.5,0.0,1.9
24122,Chi Lewis-Parry,Chopper,7,0,1,2,"6'9""",243lbs,0,,"Aug10,1983",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24136,Brandon Lewis,,5,1,0,0,"5'4""",135lbs,65,Orthodox,"Aug02,1997",1.33,0.39,1.87,0.54,0.0,0.0,0.2,0.0
24150,Bevon Lewis,,7,3,0,0,"6'3""",185lbs,79,Orthodox,"May05,1991",3.73,0.43,2.67,0.54,0.0,0.0,0.66,0.0
24164,Derrick Lewis,The Black Beast,26,9,0,1,"6'3""",260lbs,79,Orthodox,"Feb07,1985",2.56,0.5,2.51,0.41000000000000003,0.6000000000000001,0.28,0.55,0.0
24178,David Levicki,,1,3,0,0,"6'5""",275lbs,0,,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24192,Natan Levy,,7,1,0,0,"5'9""",155lbs,71,Southpaw,"Sep30,1991",3.84,0.52,3.62,0.54,5.13,0.56,0.41000000000000003,0.7000000000000001
24206,Kyle Levinton,,0,3,0,0,--,--,0,,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24220,John Lewis,,3,4,3,0,"6'0""",155lbs,0,Southpaw,--,0.0,0.0,4.0,0.66,0.0,0.0,0.0,0.0
24234,Justin Levens,The Executioner,10,7,0,0,"5'11""",185lbs,0,Orthodox,"Apr18,1980",1.24,0.47000000000000003,3.15,0.37,1.69,0.5,0.33,5.1
24248,Marcus LeVesseur,The Prospect,22,7,0,0,"5'9""",155lbs,70,Southpaw,"Jul17,1982",2.55,0.64,3.7,0.37,3.89,0.36,0.8300000000000001,0.6000000000000001
24262,Leah Letson,Nidas,5,3,0,0,"5'7""",145lbs,71,,"Aug21,1992",3.06,0.41000000000000003,3.84,0.52,0.51,0.5,0.76,0.0
24276,Brock Lesnar,,5,3,0,1,"6'3""",265lbs,81,Orthodox,"Jul12,1977",3.5300000000000002,0.72,2.11,0.5,3.9,0.55,0.6000000000000001,0.5
24290,Frank Lester,,11,6,0,1,"5'11""",170lbs,0,Orthodox,"Jun10,1984",2.18,0.36,3.8200000000000003,0.53,0.0,0.0,0.0,0.0
24304,Valerie Letourneau,Trouble,8,6,0,0,"5'7""",115lbs,68,Orthodox,"Apr29,1983",4.51,0.37,5.4,0.58,0.77,0.45,0.66,0.30000000000000004
24318,Michael Lerma,,0,1,0,0,--,--,0,,--,0.0,0.0,6.47,0.45,0.0,0.0,0.0,0.0
24332,Lukasz Les,,8,3,0,0,--,170lbs,0,,"Nov05,1981",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24346,Anthony Leone,,15,8,0,0,"5'6""",135lbs,0,Orthodox,"May27,1987",1.94,0.53,2.52,0.56,1.72,0.18,0.0,0.0
24360,Chad Leonhardt,The Boss,9,4,0,0,"6'0""",170lbs,0,,"Feb19,1980",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
