iter	Passed	Remaining
866	6213	953
867	6223	946
868	6228	938
869	6234	931
870	6239	924
871	6244	916
872	6250	909
873	6255	901
874	6265	895
875	6273	888
876	6284	881
877	6289	873
878	6296	866
879	6304	859
880	6309	852
881	6315	844
882	6320	837
883	6326	830
884	6331	822
885	6336	815
886	6342	807
887	6347	800
888	6353	793
889	6358	785
890	6363	778
891	6369	771
892	6374	763
893	6380	756
894	6385	749
895	6391	741
896	6396	734
897	6401	727
898	6407	719
899	6413	712
900	6424	705
901	6434	699
902	6445	692
903	6451	685
904	6456	677
905	6463	670
906	6468	663
907	6474	655
908	6480	648
909	6485	641
910	6490	634
911	6496	626
912	6501	619
913	6507	612
914	6512	605
915	6518	597
916	6523	590
917	6531	583
918	6536	576
919	6542	568
920	6549	561
921	6555	554
922	6561	547
923	6572	540
924	6578	533
925	6588	526
926	6596	519
927	6604	512
928	6611	505
929	6621	498
930	6631	491
931	6637	484
932	6645	477
933	6651	470
934	6657	462
935	6664	455
936	6669	448
937	6676	441
938	6682	434
939	6690	427
940	6695	419
941	6701	412
942	6708	405
943	6713	398
944	6721	391
945	6726	383
946	6732	376
947	6738	369
948	6743	362
949	6749	355
950	6754	348
951	6760	340
952	6769	333
953	6780	326
954	6787	319
955	6794	312
956	6799	305
957	6805	298
958	6811	291
959	6816	284
960	6821	276
961	6827	269
962	6832	262
963	6838	255
964	6843	248
965	6848	241
966	6854	233
967	6859	226
968	6865	219
969	6870	212
970	6875	205
971	6881	198
972	6887	191
973	6893	184
974	6901	176
975	6906	169
976	6914	162
977	6920	155
978	6926	148
979	6932	141
980	6941	134
981	6950	127
982	6960	120
983	6968	113
984	6976	106
985	6982	99
986	6990	92
987	6995	84
988	7004	77
989	7012	70
990	7020	63
991	7025	56
992	7031	49
993	7037	42
994	7043	35
995	7050	28
996	7056	21
997	7061	14
998	7068	7
999	7073	0
